"pvalue"	"names"	"class"
"1"	5.84980487242457e-308	"cg00023001"	"1_1_6"
"2"	1.21155654649994e-306	"cg00004072"	"1_1_4"
"3"	1.01623071163952e-295	"cg00017271"	"1_1_1"
"4"	3.83984460437887e-284	"cg00031256"	"1_1_5"
"5"	3.27388908486625e-282	"cg00050496"	"1_1_7"
"6"	3.64455867795558e-250	"cg00040411"	"1_1_3"
"7"	1.71982146500528e-245	"cg00057722"	"1_1_2"
"8"	0	"cg00148025"	"2_1_5"
"9"	4.19395790614769e-301	"cg00127894"	"2_1_1"
"10"	3.99675032238351e-294	"cg00145352"	"2_1_6"
"11"	1.75921747302034e-288	"cg00128877"	"2_1_2"
"12"	6.61542545627498e-253	"cg00115288"	"2_1_4"
"13"	2.47787148399858e-239	"cg00110688"	"2_1_3"
"14"	3.35624724150883e-298	"cg00179940"	"3_1_3"
"15"	7.0867085651145e-290	"cg00188627"	"3_1_2"
"16"	5.88767213769655e-274	"cg00172803"	"3_1_1"
"17"	0	"cg00294025"	"4_1_3"
"18"	5.83133124932802e-285	"cg00295426"	"4_1_1"
"19"	4.72894936042403e-271	"cg00286119"	"4_1_2"
"20"	1.00629095531666e-303	"cg00319595"	"5_1_1"
"21"	6.07528066617477e-286	"cg00334498"	"5_1_6"
"22"	4.12184685888439e-284	"cg00336220"	"5_1_4"
"23"	8.08282175103899e-269	"cg00369058"	"5_1_7"
"24"	5.27826940518487e-251	"cg00356723"	"5_1_5"
"25"	1.31393594365774e-249	"cg00378510"	"5_1_2"
"26"	1.42280764081813e-185	"cg00329300"	"5_1_3"
"27"	0	"cg00417823"	"6_1_17"
"28"	1.08045989431773e-294	"cg00405803"	"6_1_2"
"29"	6.77960344083058e-288	"cg00453193"	"6_1_3"
"30"	4.49699926131712e-287	"cg00447817"	"6_1_16"
"31"	8.32502398912765e-284	"cg00466136"	"6_1_19"
"32"	8.9324399373291e-283	"cg00419092"	"6_1_12"
"33"	5.02744947152262e-280	"cg00455327"	"6_1_23"
"34"	1.01427262782234e-279	"cg00470636"	"6_1_18"
"35"	7.1206653673771e-276	"cg00438215"	"6_1_14"
"36"	1.19611281042861e-265	"cg00434573"	"6_1_25"
"37"	1.28074684809056e-265	"cg00396687"	"6_1_5"
"38"	3.64423828028956e-262	"cg00412772"	"6_1_1"
"39"	2.99824795910776e-258	"cg00464046"	"6_1_9"
"40"	9.72528981342997e-257	"cg00395951"	"6_1_6"
"41"	2.18993530300256e-253	"cg00414077"	"6_1_8"
"42"	5.90689877963511e-251	"cg00465686"	"6_1_4"
"43"	1.69412422739045e-247	"cg00415333"	"6_1_10"
"44"	4.77738164792749e-245	"cg00450651"	"6_1_15"
"45"	4.14261879009201e-242	"cg00439658"	"6_1_11"
"46"	1.19765785424632e-236	"cg00424451"	"6_1_21"
"47"	3.85861425639064e-232	"cg00412842"	"6_1_20"
"48"	1.59185382152055e-221	"cg00440043"	"6_1_7"
"49"	5.79269918592089e-187	"cg00401091"	"6_1_22"
"50"	1.05299845805786e-182	"cg00459068"	"6_1_13"
"51"	2.63556034145838e-173	"cg00446123"	"6_1_24"
"52"	0	"cg00489795"	"7_1_4"
"53"	5.13744227767957e-292	"cg00495201"	"7_1_5"
"54"	2.67875452253971e-279	"cg00500522"	"7_1_2"
"55"	2.26968648213904e-261	"cg00516067"	"7_1_3"
"56"	1.35978087728504e-253	"cg00499837"	"7_1_1"
"57"	0	"cg00567872"	"8_1_4"
"58"	1.00741263393718e-300	"cg00575674"	"8_1_3"
"59"	4.14774989016099e-294	"cg00573352"	"8_1_5"
"60"	1.01267823776699e-275	"cg00594099"	"8_1_2"
"61"	5.0401688417834e-197	"cg00553487"	"8_1_1"
"62"	5.72017875702185e-300	"cg00664454"	"9_1_4"
"63"	1.06673347218231e-297	"cg00687252"	"9_1_9"
